appointment_type,agency,employee_count,avg_pay,avg_tenure
EXECUTIVE (EXCEPTED SERVICE PERMANENT),AMERICAN BATTLE MONUMENTS COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),APPALACHIAN REGIONAL COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),ARCHITECTL & TRANS BARRIER COMPLIANCE BD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),ARCTIC RESEARCH COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),ARMED FORCES RETIREMENT HOME,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),BARRY GOLDWATER SCHOL & EXCEL IN ED FOUN,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),CHEMICAL SAFETY/HAZARD INVESTIGATION BD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),CIVIL RIGHTS COLD CASE REVIEW BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),CMSN FOR PRES OF AMERICA'S HERITAGE ABRD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),CMTE FOR PURCH FRM PPLE BLIND OR SEV DIS,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),COMMISSION OF FINE ARTS,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),COMMISSION ON CIVIL RIGHTS,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),COMMODITY FUTURES TRADING COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),CONSUMER PRODUCT SAFETY COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),CORP FOR NATIONAL AND COMMUNITY SERVICE,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),COUNCIL OF ECONOMIC ADVISERS,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),COUNCIL OF INSP. GEN. ON INTEG.& EFFIC.,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),COUNCIL ON ENVIR QUAL/OFC OF ENVIR QUAL,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),COURT SERVICES AND OFFENDR SUPERVSN AGY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEFENSE NUCLEAR FACILITIES SAFETY BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DELTA REGIONAL AUTHORITY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DENALI COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF AGRICULTURE,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF COMMERCE,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF DEFENSE,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF EDUCATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF ENERGY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF HEALTH AND HUMAN SERVICES,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF HOMELAND SECURITY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF HOUSING AND URBAN DEVELOPM,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF INTERIOR,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF JUSTICE,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF LABOR,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF STATE,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF THE AIR FORCE,1,,25.4
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF THE ARMY,6,,11.92
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF THE NAVY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF TRANSPORTATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF TREASURY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DEPARTMENT OF VETERANS AFFAIRS,20,207500.0,27.62
EXECUTIVE (EXCEPTED SERVICE PERMANENT),DFC,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),ELECTION ASSISTANCE COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),ENVIRONMENTAL PROTECTION AGENCY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),EXPORT-IMPORT BANK OF THE UNITED STATES,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FARM CREDIT ADMINISTRATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FARM CREDIT SYSTEM INSURANCE CORPORATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FED MEDIATION AND CONCILIATION SERVICE,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FED MINE SAFETY AND HEALTH REVIEW CMSN,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FED RETIREMENT THRIFT INVESTMENT BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FEDERAL COMMUNICATIONS COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FEDERAL DEPOSIT INSURANCE CORPORATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FEDERAL ELECTION COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FEDERAL FINANCIAL INST. EXAM. COUNCIL,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FEDERAL HOUSING FINANCE AGENCY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FEDERAL LABOR RELATIONS AUTHORITY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FEDERAL MARITIME COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FEDERAL PERMITTING IMPROVEMENT STEER,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FEDERAL RESERVE SYSTEM,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),FEDERAL TRADE COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),GENERAL SERVICES ADMINISTRATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),GOVERNMENT PUBLISHING OFFICE,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),GULF COAST ECOSYSTEM RESTORATION COUNCIL,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),INTER BOUND AND WATER COMM U.S. SECTION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),INTER-AMERICAN FOUNDATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),INTERNAT BOUNDARY CMSN: U.S. AND CANADA,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),INTERNATIONAL JOINT CMSN: U.S. & CANADA,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),JAMES MADISON MEMORIAL FELLOWSHIP FOUND,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),JAPAN-UNITED STATES FRIENDSHIP CMSN,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),JUDICIAL BRANCH,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),MARINE MAMMAL COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),MEDICAID & CHIP PAYMENT & ACCESS COMM,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),MERIT SYSTEMS PROTECTION BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),MILLENNIUM CHALLENGE CORPORATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),MORRIS K. UDALL & STEWART L. UDALL FOUND,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NAT AERONAUTICS AND SPACE ADMINISTRATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NAT ARCHIVES AND RECORDS ADMINISTRATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NAT CMSN ON LIBRARIES AND INFO SCIENCE,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NAT FOUNDATION ON ARTS AND HUMANITIES,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NATIONAL CAPITAL PLANNING COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NATIONAL COUNCIL ON DISABILITY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NATIONAL CREDIT UNION ADMINISTRATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NATIONAL LABOR RELATIONS BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NATIONAL MEDIATION BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NATIONAL SCIENCE FOUNDATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NATIONAL SECURITY COUNCIL,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NATIONAL TRANSPORTATION SAFETY BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NORTHERN BORDER REGIONAL COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NUCLEAR REGULATORY COMMISSION,1,173494.0,30.7
EXECUTIVE (EXCEPTED SERVICE PERMANENT),NUCLEAR WASTE TECHNICAL REVIEW BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),OCCUPATIONAL SAFETY & HEALTH REVIEW CMSN,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),OFC OF THE NAT CYBER DIR,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),OFFICE OF ADMINISTRATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),OFFICE OF GOVERNMENT ETHICS,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),OFFICE OF MANAGEMENT AND BUDGET,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),OFFICE OF NATIONAL DRUG CONTROL POLICY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),OFFICE OF PERSONNEL MANAGEMENT,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),OFFICE OF SCIENCE AND TECHNOLOGY POLICY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),OFFICE OF SPECIAL COUNSEL,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),OFFICE OF THE U.S. TRADE REPRESENTATIVE,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),PEACE CORPS,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),PENSION BENEFIT GUARANTY CORPORATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),PRESIDIO TRUST,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),PRIVACY AND CIVIL LIBERTIES OVERSIGHT,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),PUBLIC BUILDINGS REFORM BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),PUBLIC INTEREST DECLASSIFICATION BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),RAILROAD RETIREMENT BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),SECURITIES AND EXCHANGE COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),SELECTIVE SERVICE SYSTEM,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),SMALL BUSINESS ADMINISTRATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),SMITHSONIAN INSTITUTION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),SOCIAL SECURITY ADMINISTRATION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),SOUTHWEST BORDER REGIONAL COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),SURFACE TRANSPORTATION BOARD,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),THE US SEMIQUINCENTENNIAL COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),TRADE AND DEVELOPMENT AGENCY,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),U.S. AGENCY FOR INTERNATIONAL DEV,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),U.S. CMSN ON INTERNATL RELIGIOUS FREEDOM,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),U.S. HOLOCAUST MEMORIAL MUSEUM,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),U.S. INTERNATIONAL TRADE COMMISSION,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),U.S.-CHINA ECONOMIC & SECURITY REV CMSN,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),U.S.AGENCY FOR GLOBAL MEDIA,0,,
EXECUTIVE (EXCEPTED SERVICE PERMANENT),UTAH RECLAMATN MITIGATN & CONSERVTN CMSN,0,,
INVALID,ADMIN CONFERENCE OF THE UNITED STATES,0,,
INVALID,ADV COUNCIL ON HISTORIC PRESERVATION,0,,
INVALID,AFRICAN DEVELOPMENT FOUNDATION,0,,
INVALID,AMERICAN BATTLE MONUMENTS COMMISSION,0,,
INVALID,APPALACHIAN REGIONAL COMMISSION,0,,
INVALID,ARCHITECTL & TRANS BARRIER COMPLIANCE BD,0,,
INVALID,ARCTIC RESEARCH COMMISSION,0,,
INVALID,ARMED FORCES RETIREMENT HOME,0,,
INVALID,BARRY GOLDWATER SCHOL & EXCEL IN ED FOUN,0,,
INVALID,CHEMICAL SAFETY/HAZARD INVESTIGATION BD,0,,
INVALID,CIVIL RIGHTS COLD CASE REVIEW BOARD,0,,
INVALID,CMSN FOR PRES OF AMERICA'S HERITAGE ABRD,0,,
INVALID,CMTE FOR PURCH FRM PPLE BLIND OR SEV DIS,0,,
INVALID,COMMISSION OF FINE ARTS,0,,
INVALID,COMMISSION ON CIVIL RIGHTS,0,,
INVALID,COMMODITY FUTURES TRADING COMMISSION,0,,
INVALID,CONSUMER PRODUCT SAFETY COMMISSION,0,,
INVALID,CORP FOR NATIONAL AND COMMUNITY SERVICE,0,,
INVALID,COUNCIL OF ECONOMIC ADVISERS,0,,
INVALID,COUNCIL OF INSP. GEN. ON INTEG.& EFFIC.,0,,
INVALID,COUNCIL ON ENVIR QUAL/OFC OF ENVIR QUAL,0,,
INVALID,COURT SERVICES AND OFFENDR SUPERVSN AGY,0,,
INVALID,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,0,,
INVALID,DELTA REGIONAL AUTHORITY,0,,
INVALID,DENALI COMMISSION,0,,
INVALID,DEPARTMENT OF AGRICULTURE,1,88331.0,22.7
INVALID,DEPARTMENT OF COMMERCE,0,,
INVALID,DEPARTMENT OF DEFENSE,0,,
INVALID,DEPARTMENT OF EDUCATION,0,,
INVALID,DEPARTMENT OF ENERGY,0,,
INVALID,DEPARTMENT OF HEALTH AND HUMAN SERVICES,339,98391.2,8.03
INVALID,DEPARTMENT OF HOMELAND SECURITY,2,193359.0,13.6
INVALID,DEPARTMENT OF HOUSING AND URBAN DEVELOPM,0,,
INVALID,DEPARTMENT OF INTERIOR,0,,
INVALID,DEPARTMENT OF JUSTICE,3,212088.0,23.77
INVALID,DEPARTMENT OF LABOR,0,,
INVALID,DEPARTMENT OF STATE,0,,
INVALID,DEPARTMENT OF THE AIR FORCE,0,,
INVALID,DEPARTMENT OF THE ARMY,0,,
INVALID,DEPARTMENT OF THE NAVY,0,,
INVALID,DEPARTMENT OF TRANSPORTATION,0,,
INVALID,DEPARTMENT OF TREASURY,0,,
INVALID,DEPARTMENT OF VETERANS AFFAIRS,11,84794.86,11.85
INVALID,DFC,0,,
INVALID,ELECTION ASSISTANCE COMMISSION,0,,
INVALID,ENVIRONMENTAL PROTECTION AGENCY,0,,
INVALID,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,0,,
INVALID,EXPORT-IMPORT BANK OF THE UNITED STATES,0,,
INVALID,FARM CREDIT ADMINISTRATION,0,,
INVALID,FARM CREDIT SYSTEM INSURANCE CORPORATION,0,,
INVALID,FED MEDIATION AND CONCILIATION SERVICE,0,,
INVALID,FED MINE SAFETY AND HEALTH REVIEW CMSN,0,,
INVALID,FED RETIREMENT THRIFT INVESTMENT BOARD,0,,
INVALID,FEDERAL COMMUNICATIONS COMMISSION,0,,
INVALID,FEDERAL DEPOSIT INSURANCE CORPORATION,0,,
INVALID,FEDERAL ELECTION COMMISSION,0,,
INVALID,FEDERAL FINANCIAL INST. EXAM. COUNCIL,0,,
INVALID,FEDERAL HOUSING FINANCE AGENCY,0,,
INVALID,FEDERAL LABOR RELATIONS AUTHORITY,0,,
INVALID,FEDERAL MARITIME COMMISSION,0,,
INVALID,FEDERAL PERMITTING IMPROVEMENT STEER,0,,
INVALID,FEDERAL RESERVE SYSTEM,0,,
INVALID,FEDERAL TRADE COMMISSION,0,,
INVALID,GENERAL SERVICES ADMINISTRATION,0,,
INVALID,GOVERNMENT PUBLISHING OFFICE,0,,
INVALID,GULF COAST ECOSYSTEM RESTORATION COUNCIL,0,,
INVALID,HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,0,,
INVALID,INTER BOUND AND WATER COMM U.S. SECTION,0,,
INVALID,INTER-AMERICAN FOUNDATION,0,,
INVALID,INTERNAT BOUNDARY CMSN: U.S. AND CANADA,0,,
INVALID,INTERNATIONAL JOINT CMSN: U.S. & CANADA,0,,
INVALID,JAMES MADISON MEMORIAL FELLOWSHIP FOUND,0,,
INVALID,JAPAN-UNITED STATES FRIENDSHIP CMSN,0,,
INVALID,JUDICIAL BRANCH,0,,
INVALID,MARINE MAMMAL COMMISSION,0,,
INVALID,MEDICAID & CHIP PAYMENT & ACCESS COMM,0,,
INVALID,MERIT SYSTEMS PROTECTION BOARD,0,,
INVALID,MILLENNIUM CHALLENGE CORPORATION,0,,
INVALID,MORRIS K. UDALL & STEWART L. UDALL FOUND,0,,
INVALID,NAT AERONAUTICS AND SPACE ADMINISTRATION,0,,
INVALID,NAT ARCHIVES AND RECORDS ADMINISTRATION,0,,
INVALID,NAT CMSN ON LIBRARIES AND INFO SCIENCE,0,,
INVALID,NAT FOUNDATION ON ARTS AND HUMANITIES,0,,
INVALID,NATIONAL CAPITAL PLANNING COMMISSION,0,,
INVALID,NATIONAL COUNCIL ON DISABILITY,0,,
INVALID,NATIONAL CREDIT UNION ADMINISTRATION,0,,
INVALID,NATIONAL LABOR RELATIONS BOARD,0,,
INVALID,NATIONAL MEDIATION BOARD,0,,
INVALID,NATIONAL SCIENCE FOUNDATION,0,,
INVALID,NATIONAL SECURITY COUNCIL,0,,
INVALID,NATIONAL TRANSPORTATION SAFETY BOARD,0,,
INVALID,NORTHERN BORDER REGIONAL COMMISSION,0,,
INVALID,NUCLEAR REGULATORY COMMISSION,0,,
INVALID,NUCLEAR WASTE TECHNICAL REVIEW BOARD,0,,
INVALID,OCCUPATIONAL SAFETY & HEALTH REVIEW CMSN,0,,
INVALID,OFC OF THE NAT CYBER DIR,0,,
INVALID,OFFICE OF ADMINISTRATION,0,,
INVALID,OFFICE OF GOVERNMENT ETHICS,0,,
INVALID,OFFICE OF MANAGEMENT AND BUDGET,0,,
INVALID,OFFICE OF NATIONAL DRUG CONTROL POLICY,0,,
INVALID,OFFICE OF PERSONNEL MANAGEMENT,0,,
INVALID,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,0,,
INVALID,OFFICE OF SPECIAL COUNSEL,0,,
INVALID,OFFICE OF THE U.S. TRADE REPRESENTATIVE,0,,
INVALID,PEACE CORPS,0,,
INVALID,PENSION BENEFIT GUARANTY CORPORATION,0,,
INVALID,PRESIDIO TRUST,0,,
INVALID,PRIVACY AND CIVIL LIBERTIES OVERSIGHT,0,,
INVALID,PUBLIC BUILDINGS REFORM BOARD,0,,
INVALID,PUBLIC INTEREST DECLASSIFICATION BOARD,0,,
INVALID,RAILROAD RETIREMENT BOARD,0,,
INVALID,SECURITIES AND EXCHANGE COMMISSION,0,,
INVALID,SELECTIVE SERVICE SYSTEM,0,,
INVALID,SMALL BUSINESS ADMINISTRATION,0,,
INVALID,SMITHSONIAN INSTITUTION,0,,
INVALID,SOCIAL SECURITY ADMINISTRATION,0,,
INVALID,SOUTHWEST BORDER REGIONAL COMMISSION,0,,
INVALID,SURFACE TRANSPORTATION BOARD,0,,
INVALID,THE US SEMIQUINCENTENNIAL COMMISSION,0,,
INVALID,TRADE AND DEVELOPMENT AGENCY,0,,
INVALID,U.S. AGENCY FOR INTERNATIONAL DEV,0,,
INVALID,U.S. CMSN ON INTERNATL RELIGIOUS FREEDOM,0,,
INVALID,U.S. HOLOCAUST MEMORIAL MUSEUM,0,,
INVALID,U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,0,,
INVALID,U.S. INTERNATIONAL TRADE COMMISSION,0,,
INVALID,U.S.-CHINA ECONOMIC & SECURITY REV CMSN,0,,
INVALID,U.S.AGENCY FOR GLOBAL MEDIA,0,,
INVALID,UTAH RECLAMATN MITIGATN & CONSERVTN CMSN,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),ADMIN CONFERENCE OF THE UNITED STATES,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),ADV COUNCIL ON HISTORIC PRESERVATION,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),AFRICAN DEVELOPMENT FOUNDATION,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),AMERICAN BATTLE MONUMENTS COMMISSION,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),APPALACHIAN REGIONAL COMMISSION,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),ARCHITECTL & TRANS BARRIER COMPLIANCE BD,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),ARCTIC RESEARCH COMMISSION,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),ARMED FORCES RETIREMENT HOME,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),BARRY GOLDWATER SCHOL & EXCEL IN ED FOUN,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),CHEMICAL SAFETY/HAZARD INVESTIGATION BD,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),CIVIL RIGHTS COLD CASE REVIEW BOARD,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),CMSN FOR PRES OF AMERICA'S HERITAGE ABRD,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),CMTE FOR PURCH FRM PPLE BLIND OR SEV DIS,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),COMMISSION OF FINE ARTS,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),COMMISSION ON CIVIL RIGHTS,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),COMMODITY FUTURES TRADING COMMISSION,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),CONSUMER PRODUCT SAFETY COMMISSION,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),CORP FOR NATIONAL AND COMMUNITY SERVICE,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),COUNCIL OF ECONOMIC ADVISERS,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),COUNCIL OF INSP. GEN. ON INTEG.& EFFIC.,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),COUNCIL ON ENVIR QUAL/OFC OF ENVIR QUAL,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),COURT SERVICES AND OFFENDR SUPERVSN AGY,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEFENSE NUCLEAR FACILITIES SAFETY BOARD,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DELTA REGIONAL AUTHORITY,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DENALI COMMISSION,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF AGRICULTURE,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF COMMERCE,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF DEFENSE,8,,11.52
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF EDUCATION,1,206912.0,11.3
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF ENERGY,2,214552.0,1.8
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF HEALTH AND HUMAN SERVICES,7,203670.14,15.41
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF HOMELAND SECURITY,4,188065.5,9.95
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF HOUSING AND URBAN DEVELOPM,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF INTERIOR,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF JUSTICE,3,219654.0,21.8
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF LABOR,1,195200.0,15.2
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF STATE,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF THE AIR FORCE,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF THE ARMY,3,,9.6
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF THE NAVY,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF TRANSPORTATION,5,205900.0,9.3
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF TREASURY,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DEPARTMENT OF VETERANS AFFAIRS,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),DFC,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),ELECTION ASSISTANCE COMMISSION,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),ENVIRONMENTAL PROTECTION AGENCY,0,,
LIMITED TERM (SENIOR EXECUTIVE SERVICE NONPERMANENT),EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,0,,
